Company1,Company2,Value
19,28,-0.034989498
19,29,0.336663562
19,30,0.07919555
20,1,-0.102521517
20,2,-0.135288644
20,3,-0.064654067
20,4,0
20,5,0.056835842
20,6,0.261072918
20,7,0.855545086
20,8,-0.085824902
20,9,-0.061462318
20,10,0.075312156
20,11,-0.045431963
20,12,0.168843362
20,13,0.209518259
20,14,0.245106399
20,15,0.228102821
20,16,-0.053964434
20,17,0.088922208
20,18,0.006391997
20,19,0.603389099
20,20,1
20,21,0.450438896
20,22,0.224519201
20,23,0.000968065
20,24,0.018381729
20,25,-0.081086816
20,26,-0.173950768
20,27,0.15345224
20,28,-0.020397989
20,29,0.224987711
20,30,0.052879173
21,1,-0.238416855
21,2,-0.258325611
21,3,-0.147489596
21,4,0
21,5,0.115682344
21,6,0.562728613
21,7,0.52361582
21,8,-0.179464439
21,9,-0.18796748
21,10,0.168829643
21,11,-0.09110617
21,12,0.342037745
21,13,0.504576374
21,14,0.641940629
21,15,0.486924766
21,16,-0.130169639
21,17,0.207357837
21,18,-0.035590935
21,19,0.767851996
21,20,0.450438896
21,21,1
21,22,0.385550333
21,23,-0.188126634
21,24,-0.097854043
21,25,-0.166418204
21,26,-0.422979171
21,27,0.340837022
21,28,-0.040138904
21,29,0.382615931
21,30,0.100663218
22,1,-0.278291163
22,2,0.244575476
22,3,0.353283258
22,4,0
22,5,-0.26530566
22,6,0.504925267
22,7,0.272944517
22,8,-0.787668515
22,9,-0.553264276
22,10,0.525741602
22,11,-0.603946712
22,12,0.002401552
22,13,0.596533183
22,14,0.382926729
22,15,0.606069573
22,16,-0.105995054
22,17,-0.25908173
22,18,-0.597880976
22,19,0.351205399
22,20,0.224519201
22,21,0.385550333
22,22,1
22,23,0.325935612
22,24,0.26425501
22,25,-0.525433423
22,26,-0.180022013
22,27,0.282480109
22,28,-0.315389108
22,29,0.506177981
22,30,-0.379544567
23,1,-0.294830639
23,2,0.921766711
23,3,0.42430519
23,4,0
23,5,-0.800218023
23,6,-0.423643807
23,7,0.007087678
23,8,-0.4458206
23,9,-0.173923831
23,10,-0.42244521
23,11,-0.532224384
23,12,-0.816458998
23,13,-0.464379665
23,14,-0.345618371
23,15,-0.45214615
23,16,0.460239047
23,17,-0.811381982
23,18,-0.17305767
23,19,-0.06918072
23,20,0.000968065
23,21,-0.188126634
23,22,0.325935612
23,23,1
23,24,0.84084813
23,25,-0.130470154
23,26,0.633515695
23,27,-0.679202835
23,28,-0.562489656
23,29,-0.437436272
23,30,-0.669818443
24,1,-0.254033716
24,2,0.860652581
24,3,0.187335023
24,4,0
24,5,-0.798218167
24,6,-0.260408502
24,7,0.028921544
24,8,-0.245642871
24,9,-0.087663121
24,10,-0.318559594
24,11,-0.380154019
24,12,-0.793997017
24,13,-0.338069275
24,14,-0.235625129
24,15,-0.305490365
24,16,0.607338194
24,17,-0.775718513
24,18,3.24E-05
24,19,-0.013432727
24,20,0.018381729
24,21,-0.097854043
24,22,0.26425501
24,23,0.84084813
24,24,1
24,25,0.105772918
24,26,0.540268399
24,27,-0.647621061
24,28,-0.642221582
24,29,-0.432446198
24,30,-0.616875131
25,1,0.456895506
25,2,-0.030038491
25,3,-0.275964498
25,4,0
25,5,-0.072350895
25,6,-0.233410714
25,7,-0.095300509
25,8,0.679625901
25,9,0.620808644
25,10,-0.210864835
25,11,0.547054634
25,12,-0.173861564
25,13,-0.249200513
25,14,-0.18860774
25,15,-0.242770962
25,16,0.359275426
25,17,0.059295576
25,18,0.527686175
25,19,-0.136009831
25,20,-0.081086816
25,21,-0.166418204
25,22,-0.525433423
25,23,-0.130470154
25,24,0.105772918
25,25,1
25,26,0.01261072
25,27,-0.103998155
25,28,-0.062256941
25,29,-0.256264237
25,30,0.093710713
26,1,-0.28025946
26,2,0.657483805
26,3,0.123648214
26,4,0
26,5,-0.538091612
26,6,-0.63810465
26,7,-0.196947807
26,8,-0.072305282
26,9,-0.053862084
26,10,-0.610278994
26,11,-0.193275216
26,12,-0.712186392
26,13,-0.711457057
26,14,-0.538465116
26,15,-0.697293116
26,16,0.385114911
26,17,-0.598350905
26,18,0.076519109
26,19,-0.301652971
26,20,-0.173950768
26,21,-0.422979171
26,22,-0.180022013
26,23,0.633515695
26,24,0.540268399
26,25,0.01261072
26,26,1
26,27,-0.792809417
26,28,-0.309486081
26,29,-0.684250325
26,30,-0.352837869
27,1,0.33836757
27,2,-0.743540638
27,3,-0.015747835
27,4,0
27,5,0.642942974
27,6,0.627272435
27,7,0.186069851
27,8,0.011944803
27,9,0.0030772
27,10,0.811309862
27,11,0.170143747
27,12,0.823859353
27,13,0.825511731
27,14,0.448041557
27,15,0.807655183
27,16,-0.563968558
27,17,0.662631356
27,18,-0.132091097
27,19,0.261198323
27,20,0.15345224
27,21,0.340837022
27,22,0.282480109
27,23,-0.679202835
27,24,-0.647621061
27,25,-0.103998155
27,26,-0.792809417
27,27,1
27,28,0.375777086
27,29,0.87612032
27,30,0.385432713
28,1,0.032234617
28,2,-0.556178356
28,3,0.112910943
28,4,0
28,5,0.675671689
28,6,0.007600587
28,7,-0.023459242
28,8,0.311695287
28,9,0.018437862
28,10,0.08712565
28,11,0.123448886
28,12,0.630263562
28,13,0.053284373
28,14,-0.017596197
28,15,0.045680003
28,16,-0.620950443
28,17,0.493113684
28,18,0.119500993
28,19,-0.034989498
28,20,-0.020397989
28,21,-0.040138904
28,22,-0.315389108
28,23,-0.562489656
28,24,-0.642221582
28,25,-0.062256941
28,26,-0.309486081
28,27,0.375777086
28,28,1
28,29,0.145821668
28,30,0.33670271
29,1,0.173468305
29,2,-0.529009869
29,3,0.007207326
29,4,0
29,5,0.39965952
29,6,0.657140611
29,7,0.256111478
29,8,-0.271547455
29,9,-0.239632715
29,10,0.82200725
29,11,-0.090568744
29,12,0.641370567
29,13,0.848339608
29,14,0.471263379
29,15,0.822790072
29,16,-0.54372303
29,17,0.418706543
29,18,-0.269597743
29,19,0.336663562
29,20,0.224987711
29,21,0.382615931
29,22,0.506177981
29,23,-0.437436272
29,24,-0.432446198
29,25,-0.256264237
29,26,-0.684250325
29,27,0.87612032
29,28,0.145821668
29,29,1
29,30,0.16053689
30,1,0.357705443
30,2,-0.712592236
30,3,-0.32013006
30,4,0
30,5,0.595269429
30,6,0.128727734
30,7,0.059742599
30,8,0.491180051
30,9,0.231951227
30,10,0.092944288
30,11,0.44106416
30,12,0.521906679
30,13,0.135807899
30,14,0.138489272
30,15,0.128607284
30,16,-0.201693541
30,17,0.782352815
30,18,0.196296325
30,19,0.07919555
30,20,0.052879173
30,21,0.100663218
30,22,-0.379544567
30,23,-0.669818443
30,24,-0.616875131
30,25,0.093710713
30,26,-0.352837869
30,27,0.385432713
30,28,0.33670271
30,29,0.16053689
30,30,1
